Idx,Question,Answer
1,Low battery power is less than 4%. Connect to PD power supply >Do not turn on (displays low battery icon) light,"TYPE C PD AC Loss:
Can be confirmed with an oscilloscope"
2,"Type C PD:
Depending on the Watt number of the Type c PD adapter, STT is limited.","Base on Token "" Name  = ""ADJUST_PD_POWER_TABLE_BY_PDADAPTER""""
> Reltek and  ITE chip  
Please note ""Watts are calculated differently"""
3,"In the ACP part after the PHX, if the DMIC is connected to the Codec, we need to remove it in the BIOS ASL.","DMIC disable:
Do't include AcpChildPDM.asl, the microphone will not appear in the OS."
4,"In the ACP part after the PHX, if the DMIC is connected to the Codec, we need to remove it in the BIOS ASL. ","DMIC disable: Do't include AcpChildPDM.asl, the microphone will not appear in the OS."
5,How can we fix the issue where the OS event log triggers an unexpected issue due to EC not responding?,"EC needs to support mapping the EC RAM to memory
 space instead of I/O. Please refer to the modified 
code in the file 'Fix OS event log arise EC no response cause unexpected issue.7z"
6,"How can we resolve the OS event log issue caused by the EC not responding, which leads to unexpected behavior?",Refer to patch:Fix OS event log arise EC no response cause unexpected
7,"What is the correct approach to fix the OS event log issue that arises due to EC non-responsiveness, causing unexpected system issues?",Refer to patch:Fix OS event log arise EC no response cause unexpected
8,"MS WHQL test item failed
MSFT 3rd Party Market Place Root CA test fail.",Refer to patch:Fixed MSFT 3rd Party Market Place Root CA test fail.7z
9,OS enable core isolation cause panel garbage during S4 resume.,Refer to patch: Fixed OS enable core isolation cause panel garbage during S4 resume.7z
10,What is preventing AutoAgingTest version 2.0.0.7 from running on the OS?,"Please refer to the code in the patch file: the file 
name is 'For AutoAgingTest2.0.0.7.zip memory test.7z'."""
11,AutoAgingTest2.0.0.7 can not funtion problem.,Refer to patch: For AutoAgingTest2.0.0.7.zip memory test.7z
12,How to fix AutoAgingTest2.0.0.7 can not run? ,Refer to patch: For AutoAgingTest2.0.0.7.zip memory test.7z
13,Implement MODS auto into S4 by DC mode(OS action).,Referto patch: Support Gpe(Pwrbtn)ForAdaptiveS4.7z
14,How to convert mods mode to s4 in DC mode?,Referto patch: Support Gpe(Pwrbtn)ForAdaptiveS4.7z
15,"An external HDMI monitor is connected, but there is no HDMI audio device listed in the sound output devices in the system's bottom-right corner.","modify BIOS setup:
AMD_PBS_SETUP.DP[1] set STR_DXIO_DDI_HDMI_TEXT
AMD_PBS_SETUP.TxSLEWEn set STR_ENABLED_TEXT"
16,Connecting both 4K and 2K HDMI monitors only results in a 1080P resolution.,"modify BIOS setup:
AMD_PBS_SETUP.DP[1] set STR_DXIO_DDI_HDMI_TEXT
AMD_PBS_SETUP.TxSLEWEn set STR_ENABLED_TEXT"
17,"Connecting a 1080P_180Hz HDMI monitor, the maximum refresh rate available is only 60Hz.","modify BIOS setup:
AMD_PBS_SETUP.DP[1] set STR_DXIO_DDI_HDMI_TEXT
AMD_PBS_SETUP.TxSLEWEn set STR_ENABLED_TEXT"
18,"
DDR Controller Configuration->Thermal Throttling->disable all 3 items
DDR Phy Configuration->DDR PHY->PPT control = Disable","PPT Control set manual, if the parameters below remain 0, they are disabled.
Thermal Control set manual"
19,Why does pressing the hotkey to enter the BIOS setup menu often fail to respond when the system is booting?,"Because the key confirmation wait time is too short, a delay needs to be added. Please refer to the code in the file OEM_HOTKEY_DELAY.zip."
20,Can you give me OEM HOTKEY DELAY patch? ,"Because the key confirmation wait time is too short, a delay needs to be added. Please refer to the code in the file OEM_HOTKEY_DELAY.zip."
21,Add a Num Lock option to the BIOS setup menu to control its On or Off state during the POST phase or in the initial state under the OS,Please refer to the code in the file Numlock_SOLUTION.zip
22,What is the reference for the Numlock solution?,Refer to patch: Numlock_SOLUTION
23,Update the OS Secure Boot key,Please refer to the code in the file EMDOOR_SECUREBOOT_KEY_v5_20231226
24,Can you give me EMDOOR_SECUREBOOT_KEY,Refer to patch: EMDOOR_SECUREBOOT_KEY_v5_20231226
25,"
System reboot times to long.","Fix system reboot times to long.
gEfiAmdAgesaPkgTokenSpaceGuid.PcdAcpController = FALSE"
26,How to fix system reboot times to long? ,"Fix system reboot times to long.
gEfiAmdAgesaPkgTokenSpaceGuid.PcdAcpController = FALSE"
27,How to solve System reboot times to long? ,"Fix system reboot times to long.
gEfiAmdAgesaPkgTokenSpaceGuid.PcdAcpController = FALSE"
28,setup mouse function ,setup mouse function: CRB_I2C_TOUCH_FUNCTION_SUPPORT = 1
29,Support Touchpad MODS wake,Revise the code to configure EC support and initialization for Touchpad MODS wake functionality in Modern Standby mode to resolve related wake issues.
30,How to wake up the touchpad?,Revise the code to configure EC support and initialization for Touchpad MODS wake functionality in Modern Standby mode to resolve related wake issues.
31,Consumes 5% of battery and enters MODS,"1.Need EC support 
2.USE GPIO trigger Consumes 5% of battery"
32,How to support multiple languages for the BIOS menu?,"Here is the modified code with the correct Value setting for supporting Traditional Chinese (zh-cht) and English (en-US):
TOKEN
  Name        = ""SUPPORTED_LANGUAGES""
  Value       = ""zh-cht;en-US""
  TokenType   = Expression
  TargetMAK   = Yes
End"
33,How to add a new language?,"The code defines supported setup languages, adding ""zh-cht"" and ""en-US"" to resolve issues with setup language availability."
34,"
Reltek audio console app-> format only 48000Hz 16Bits option,
           should be  has more option.e.g.""44100Hz 16bits"", ""48000Hz  24Bits""....","Revise code to configure audio device properties to expand Realtek Audio Console format options, adding support for more sample rates and bit depths."
35,The following are the failed data points from the HDMI eye diagram test. The external consultant suggests lowering the voltage.,"modify BIOS setup:
AMD_PBS_SETUP.DP[1] set STR_DXIO_DDI_HDMI_TEXT
AMD_PBS_SETUP.TxSLEWEn set STR_ENABLED_TEXT"
36,"Using an AsMedia chip to convert PCIE to SATA, the SATA device can't be displayed in the BIOS menu.",Refer to patch: Display_SATA_device
37,"Add smart fan item, Reg 0x4F write 0x00 when auto,Reg 0x4F write 0x40 and Reg 0x4B write 0xFF when full fan.",Refer to patch: smartfan
38,"Using an AsMedia chip to convert PCIE to SATA, the SATA size can't be displayed in the BIOS menu.",Refer to patch: Display_SATA_size
39,"Modify AC power loss item, Reg 0xA8 bit 2 write 0 when always off,write 1 when always on.",Refer to patch: AC_POWER_LOSS
40,How to solve the problem of USB4 GEVENT failing after returning from Modern Standby?,Please refer to the code in the file USB_effect_MS.zip
41,How to solve the problem of USB4 GEVENT failing after returning from Modern Standby?,Refer to patch: USB_effect_MS
42,Fix the bug for Board Memory Parameter: DQ QDT impedance,Refer to patch: PVT\Bug_29_On Board Memory Parameter.zip
43,"How to fix the bug for Board Memory Parameter for ""DQ QDT impedance""",Refer to patch: PVT\Bug_29_On Board Memory Parameter.zip
44,MS 28% to 97% to modify CLKREQ6 INIT_TABLE because WIFI uses CLKREQ6.,Refer to patch: WIFIcannotMS
45,"Why does the system crash with a BSOD error code CRITICAL_PROCESS_DIED after returning from Modern Standby when an NVMe drive has an HDD password set?""","This is caused by the NVMe drive not supporting 
D3Hot. Please refer to the code in the file D3Hot fix bsod critical process died.7z"
46,What is the solution for NVMe HDD password for D3Hot fix bsod critical process died?,Refer to patch: NVMe HDD password for D3Hot fix bsod critical process died.7z
47,"SSDT Table(CPMDFIG2, CDFFIGs, CPMDFDG1, CPMD3CLD, DFDGCNEV)will be replaced to OemID和OemTable.",Refer to patch: dGPUMSAcpiTableNotexist
48,Why does the OEM POST logo disappear after the resolution changes,Please refer to the modified code in the file 'PostLogoDisappearResolutionChanged
49,How to fix S4 wake up issue? ,Refer to patch: PVT\Bug_33__S4_Clear lowe power flag.zip
50,"
Clear ForceLowPowerMode flag ",Refer to patch: PVT\Bug_33__S4_Clear lowe power flag.zip
51,The number of external monitors and output audio devices does not match,"Modify    Name  = ""PcdCfgMaxNumAudioEndpoints"""
52,[Windows /Monitors] The number of external monitors and output audio devices does not match,"Modify Name = ""PcdCfgMaxNumAudioEndpoints"""
53,How can the Build Date and Time be updated in real-time when building the BIOS ROM?,"Here is the modified code to ensure the Build Date 
and Time are updated in real-time when building
 the BIOS ROM:
[File Patch]Root\makefile
ifeq ($(TODAY),) 
     export TODAY := $(shell $(DATE) +'%m/%d/%Y')
endif
ifeq ($(NOW),) 
     export NOW := $(shell $(DATE) +%T)
endif"
54,What is the build time issue for OverWrite Build Day /Time?,"Revise the code to modify the makefile to overwrite the build date and time, ensuring the correct timestamp is used during the build process."
55,Automatically clear fTpm nvram without showing messages,Refer to patch: Automatically clear fTpm nvram without showing messages.7z
56,Fixed ctrl+home hotkey can not BIOS recovery for usb keyboard,Refer to patch: Fixed ctrl+home hotkey can not BIOS recovery for usb keyboard.7z
57,How to do BIOS recovery hotkey?,Refer to patch: Fixed ctrl+home hotkey can not BIOS recovery for usb keyboard.7z
58,SA50216 Supplement_TSE_2_22_1289,Refer to patch: SA50216 Supplement_TSE_2_22_1289.7z
59,"AC only, the panel was no display when system wake form MS.",Refer to patch: MS_WAKE_PANEL_NO_DISPLAY.zip
60,"AB819-S Project Issue: When an HDD password is set, the system hangs when waking up from Modern Standby.",Refer to patch: CZN_MS_HDD_PW_ISSUE.zip
61,"After moving the HDD password information to 
the Security page, the password information cannot be updated",Refer to patch: Security_page_update_hdd_password_info.zip
62,AMD Second OEM logo support,Refer to patch: AMD_SecondOemLogo.zip
63,AMD GFX ITEM MOVE FORM CBS,Refer to patch: AMD_GFX_ITEM_MOVE_FORM_CBS.zip
64,Solve the problem that duplicate OS can't be displayed.,Refer to patch: duplicate_OS_show
